record_id,alloy_composition,mill_type_class,RPM,Time,BPR,Grain_size,Density,Density_value,Hardness,strength_type,strength_MPa,key_findings
U11,Ti-20 at.% Al,High-Energy (Type Unspecified),500 rpm,5-20 h (gamma-phase tracked continuously across this range),10:1,"Phase formation only: gamma-TiAl + alpha-Ti (categorical, no size given)",NaN,NaN,NaN,NaN,NaN,"gamma-TiAl phase persists across the whole 5-20h window at fixed 500 rpm/10:1 BPR. Notably low Al content (20 at.%) vs. most rows here (~45-50 at.%), useful for comparing how Al content shifts phase output at similar energy input."
U12,Ti-48Al-2Cr-2Nb,Attritor,270 rpm,12 h,20:1,NaN,NaN,NaN,NaN,NaN,NaN,"Reported 33.3 um is a POST-SPHEROIDIZATION POWDER PARTICLE d50 (d10=9.7, d90=67.7 um), not a grain/crystallite size - deliberately excluded from grain_size_nm to avoid conflating particle diameter with internal microstructural grain size."
U13a,Ti-44Al-2Cr-4Nb-0.2W-0.2B,Planetary,160,2 h,10:1,"Refined duplex (qualitative descriptor, no numeric grain size reported)","4.419 g/cm3 (also expressed as 99.2% relative density, at the 1300 C sintering condition)",4.419,527.14 HV (sample sintered at 1240 C),NaN,NaN,"One of the few rows reporting BOTH absolute (g/cm3) and relative (%TD) density for the same sample. rpm was the swept experimental variable here, so no single representative rpm is assigned to avoid implying one condition produced the reported density/hardness."
U13b,Ti-44Al-2Cr-4Nb-0.2W-0.2B,Planetary,300,2 h,10:1,"Refined duplex (qualitative descriptor, no numeric grain size reported)","4.419 g/cm3 (also expressed as 99.2% relative density, at the 1300 C sintering condition)",4.419,527.14 HV (sample sintered at 1240 C),NaN,NaN,"One of the few rows reporting BOTH absolute (g/cm3) and relative (%TD) density for the same sample. rpm was the swept experimental variable here, so no single representative rpm is assigned to avoid implying one condition produced the reported density/hardness."
U13c,Ti-44Al-2Cr-4Nb-0.2W-0.2B,Planetary,400,2 h,10:1,"Refined duplex (qualitative descriptor, no numeric grain size reported)","4.419 g/cm3 (also expressed as 99.2% relative density, at the 1300 C sintering condition)",4.419,527.14 HV (sample sintered at 1240 C),NaN,NaN,"One of the few rows reporting BOTH absolute (g/cm3) and relative (%TD) density for the same sample. rpm was the swept experimental variable here, so no single representative rpm is assigned to avoid implying one condition produced the reported density/hardness."
U14,Ti-48Al-2Cr-2Nb + cBN binder system,Dry,200 rpm,15 h,15:1,NaN,NaN,NaN,NaN,NaN,NaN,"Pre-milling step ahead of cBN composite sintering; XRD used to verify phase state before/after milling. Shares a DOI with U15 (P12) - same paper, dry-vs-wet milling comparison."
U15,Ti-48Al-2Cr-2Nb + cBN binder system,Wet,300 rpm,25 h,15:1,NaN,NaN,NaN,NaN,NaN,NaN,"Wet-milling counterpart to U14 (P11), run before high-pressure sintering. Higher rpm and much longer time (25h vs 15h) than the dry route - liquid media damps energy per collision, typically compensated with longer duration."
U16,Ti-48Al-2Cr-2Nb,Planetry,200-400 rpm (Optimal: 300 rpm),0.5 h,10:1,"~60 um particle (post-milling POWDER PARTICLE size, not a grain/crystallite size)",Full density (qualitative descriptor; not encoded as a number),NaN,NaN,NaN,NaN,"Short (30 min) surface-conditioning mill applied to already-spherical gas-atomized powder, not a from-scratch synthesis mill - purpose was roughening the particle surface for EB-PBF spreadability, not microstructure refinement."
U17,Ti-48Al,High-Energy (Type Unspecified),NaN,NaN,NaN,NaN,NaN,NaN,~12 GPa (nanoindentation),NaN,NaN,"Nanohardness ~2.4x the as-cast counterpart. Nanoindentation-derived GPa is not always numerically equivalent to bulk Vickers HV (indentation-size effects), so cross-comparison with HV-reported rows here should be read as approximate."
U18,Ti-48Al,High-Energy (Type Unspecified),250 rpm,3 h,8:1,"Duplex gamma+alpha2, ~15 um (POST-SINTERING grain size at 1450 C, not as-milled crystallite size)",96.4% relative density,96.4,340 HV,Tensile,352,Elongation of only 0.32% is extremely low even for a brittle intermetallic like TiAl - likely tied to the non-spherical HDH/SHS starting powder morphology rather than milling.
